Stimulus H M F A S D
#Na1-2 0.14 0.30 0.11 0.30 0.02 0.13
#Ha1-6 1.0 0 0 0 0 0
#Aa1-14 0 0.03 0 0.97 0 0
#Sa1-24 0 0 0.03 0 0.97 0
#Da1-25 0.01 0 0 0.06 0 0.93
#Ma2-6 0 0.9 0.06 0.03 0 0
#Hcc2-18 0.99 0 0 0.01 0 0
#Mcc1-18 0.02 0.9 0.05 0.01 0 0.02
#Fcc1-23 0 0 0.88 0.13 0 0
#Acc2-12 0.03 0 0 0.74 0.03 0.19
#Scc1-10 0.01 0 0.05 0.01 0.94 0
#Dcc1-4 0.01 0.01 0 0.02 0 0.96
#Ncc2-3 0.06 0.35 0 0.26 0 0.32
#Sem2-11 0.03 0 0 0 0.91 0.03
#Nem2-4 0.25 0.03 0.03 0 0 0
#Dem4-17 0 0 0 0.03 0 0.97
#Mem4-24 0 0.97 0 0 0.03 0
#Hem4-7 1.0 0 0 0 0 0
#Aem5-14 0 0 0 0.83 0.03 0.13
#Fem5-21 0 0 0.92 0 0.08 0
#Fem5-24 0 0.10 0.83 0.03 0.03 0
#Sgs1-16 0 0 0 0 1.0 0
#Fgs1-25 0 0 0.77 0 0.19 0.03
#Ngs1-4 0.13 0.21 0 0.21 0.04 0.42
#Hgs1-8 0.96 0 0 0 0.04 0
#Mgs2-1 0 0.71 0.03 0.13 0 0.13
#Dgs2-25 0 0.03 0 0.13 0 0.84
#Ags2-8 0 0 0.04 0.70 0 0.26
#Sjb1-12 0 0.03 0.03 0 0.93 0
#Djb1-16 0 0 0 0 0 1.0
#Ajb1-23 0 0.07 0 0.81 0 0.11
#Njb1-3 0 0.13 0.03 0.03 0 0.03
#Hjb1-9 1.0 0 0 0 0 0
#Ajj3-12 0 0 0.15 0.76 0.03 0.06
#Djj3-20 0 0.12 0 0 0 0.88
#Njj3-4 0.17 0.47 0 0.17 0 0.20
#Sjj4-13 0 0 0.03 0 0.97 0
#Hjj4-7 1.0 0 0 0 0 0
#Hjj4-8 0.97 0 0 0 0.03 0
#Fjj5-13 0 0.04 0.96 0 0 0
#Mjj5-5 0.03 0.93 0 0.03 0 0
#Sjm1-16 0 0 0.04 0 0.96 0
#Hjm1-4 1.0 0 0 0 0 0
#Njm1-9 0.63 0.21 0.08 0 0 0.07
#Djm2-8 0 0 0 0.03 0 0.97
#Mjm3-11 0 0.96 0 0 0 0.04
#Ajm5-3 0 0.04 0.04 0.92 0 0
#Nmf1-2 0.16 0.68 0.03 0 0.03 0.10
#Fmf1-26 0 0.04 0.87 0 0.08 0
#Fmf1-27 0 0 0.83 0 0.17 0
#Mmf1-30 0 0.90 0.03 0 0 0.06
#Hmf1-6 1.0 0 0 0 0 0
#Smf1-9 0 0 0 0 0.96 0.04
#Dmf2-13 0 0 0 0.10 0 0.90
#Amf2-5 0 0.03 0.03 0.84 0.06 0.03
#Amf2-7 0 0 0 1.0 0 0
#Smo1-14 0 0 0.06 0.03 0.90 0
#Fmo1-23 0 0 0.88 0 0.13 0
#Fmo1-26 0 0 0.88 0.08 0.04 0
#Mmo1-30 0 0.87 0.04 0 0 0.08
#Hmo1-4 1.0 0 0 0 0 0
#Nmo1-5 0.26 0.61 0 0.03 0 0.10
#Amo2-11 0 0 0 1.0 0 0
#Amo2-13 0 0 0 0.96 0 0.04
#Dmo2-18 0 0 0 0 0 1.0
#Snr1-14 0 0 0.16 0 0.81 0.03
#Fnr1-19 0 0.10 0.84 0 0.03 0.03
#Nnr1-3 0.17 0.29 0 0.13 0.04 0.38
#Hnr1-6 0.92 0 0.04 0 0.04 0
#Mnr2-15 0 0.94 0 0.03 0.03 0
#Anr2-7 0 0 0 1.0 0 0
#Dnr3-29 0 0 0 0.17 0 0.83
#Hpe2-12 1.0 0 0 0 0 0
#Ape2-21 0 0.03 0 0.83 0.07 0.07
#Mpe2-31 0 0.74 0.16 0.03 0 0.06
#Npe2-4 0.16 0.16 0.03 0 0.03 0
#Hpe2-6 1.0 0 0 0 0 0
#Fpe3-16 0 0 0.91 0.02 0.07 0
#Fpe3-21 0 0 0.92 0.04 0.04 0
#Dpe4-5 0 0 0 0.10 0 0.90
#Mpe5-10 0 0.83 0 0.04 0 0.13
#Mpe5-7 0 0.92 0.08 0 0 0
#Spe6-2 0 0 0.23 0 0.74 0.03
#Spf1-16 0.07 0 0 0 0.93 0
#Npf1-2 0.47 0.30 0.07 0.03 0.07 0.07
#Dpf1-24 0.04 0 0 0 0 0.96
#Hpf1-5 0.96 0 0 0 0.04 0
#Hpf1-6 1.0 0 0 0 0 0
#Mpf2-12 0 1.0 0 0 0 0
#Mpf2-16 0 1.0 0 0 0 0
#Fpf2-30 0 0 1.0 0 0 0
#Apf2-4 0 0 0 0.79 0 0.21
#Ssw1-16 0 0 0 0 1.0 0
#Dsw1-30 0 0 0 0.06 0 0.94
#Msw2-16 0 0.92 0 0 0 0.08
#Fsw2-30 0.04 0 0.79 0 0.08 0.08
#Nsw3-3 0.25 0.46 0 0 0 0.29
#Hsw3-9 1.0 0 0 0 0 0
#Asw4-9 0 0 0 1.0 0 0
#Hwf2-11 0.97 0 0 0 0 0.03
#Hwf2-12 1.0 0 0 0 0 0
#Swf2-16 0 0 0.09 0 0.91 0
#Nwf2-5 0 0.07 0 0.28 0 0.07
#Awf3-1 0 0 0 1.0 0 0
#Dwf3-11 0 0 0 0.03 0 0.97
#Fwf3-16 0 0.04 0.88 0 0.04 0.04
#Mwf3-28 0.07 0.79 0 0.03 0.03 0.07
#Awf3-4 0 0 0.02 0.96 0 0.02
#Dwf4-22 0 0 0 0.20 0 0.80
#Mwf5-6 0 0.88 0 0.04 0 0.08
