Stimulus H M F A S D
#5a1-2 0.14 0.30 0.11 0.30 0.02 0.13
#4a1-6 1.0 0 0 0 0 0
#2a1-14 0 0.03 0 0.97 0 0
#7a1-24 0 0 0.03 0 0.97 0
#3a1-25 0.01 0 0 0.06 0 0.93
#6a2-6 0 0.9 0.06 0.03 0 0
#4cc2-18 0.99 0 0 0.01 0 0
#6cc1-18 0.02 0.9 0.05 0.01 0 0.02
#1cc1-23 0 0 0.88 0.13 0 0
#2cc2-12 0.03 0 0 0.74 0.03 0.19
#7cc1-10 0.01 0 0.05 0.01 0.94 0
#3cc1-4 0.01 0.01 0 0.02 0 0.96
#5cc2-3 0.06 0.35 0 0.26 0 0.32
#7em2-11 0.03 0 0 0 0.91 0.03
#5em2-4 0.25 0.03 0.03 0 0 0
#3em4-17 0 0 0 0.03 0 0.97
#6em4-24 0 0.97 0 0 0.03 0
#4em4-7 1.0 0 0 0 0 0
#2em5-14 0 0 0 0.83 0.03 0.13
#1em5-21 0 0 0.92 0 0.08 0
#1em5-24 0 0.10 0.83 0.03 0.03 0
#7gs1-16 0 0 0 0 1.0 0
#1gs1-25 0 0 0.77 0 0.19 0.03
#5gs1-4 0.13 0.21 0 0.21 0.04 0.42
#4gs1-8 0.96 0 0 0 0.04 0
#6gs2-1 0 0.71 0.03 0.13 0 0.13
#3gs2-25 0 0.03 0 0.13 0 0.84
#2gs2-8 0 0 0.04 0.70 0 0.26
#7jb1-12 0 0.03 0.03 0 0.93 0
#3jb1-16 0 0 0 0 0 1.0
#2jb1-23 0 0.07 0 0.81 0 0.11
#5jb1-3 0 0.13 0.03 0.03 0 0.03
#4jb1-9 1.0 0 0 0 0 0
#2jj3-12 0 0 0.15 0.76 0.03 0.06
#3jj3-20 0 0.12 0 0 0 0.88
#5jj3-4 0.17 0.47 0 0.17 0 0.20
#7jj4-13 0 0 0.03 0 0.97 0
#4jj4-7 1.0 0 0 0 0 0
#4jj4-8 0.97 0 0 0 0.03 0
#1jj5-13 0 0.04 0.96 0 0 0
#6jj5-5 0.03 0.93 0 0.03 0 0
#7jm1-16 0 0 0.04 0 0.96 0
#4jm1-4 1.0 0 0 0 0 0
#5jm1-9 0.63 0.21 0.08 0 0 0.07
#3jm2-8 0 0 0 0.03 0 0.97
#6jm3-11 0 0.96 0 0 0 0.04
#2jm5-3 0 0.04 0.04 0.92 0 0
#5mf1-2 0.16 0.68 0.03 0 0.03 0.10
#1mf1-26 0 0.04 0.87 0 0.08 0
#1mf1-27 0 0 0.83 0 0.17 0
#6mf1-30 0 0.90 0.03 0 0 0.06
#4mf1-6 1.0 0 0 0 0 0
#7mf1-9 0 0 0 0 0.96 0.04
#3mf2-13 0 0 0 0.10 0 0.90
#2mf2-5 0 0.03 0.03 0.84 0.06 0.03
#2mf2-7 0 0 0 1.0 0 0
#7mo1-14 0 0 0.06 0.03 0.90 0
#1mo1-23 0 0 0.88 0 0.13 0
#1mo1-26 0 0 0.88 0.08 0.04 0
#6mo1-30 0 0.87 0.04 0 0 0.08
#4mo1-4 1.0 0 0 0 0 0
#5mo1-5 0.26 0.61 0 0.03 0 0.10
#2mo2-11 0 0 0 1.0 0 0
#2mo2-13 0 0 0 0.96 0 0.04
#3mo2-18 0 0 0 0 0 1.0
#7nr1-14 0 0 0.16 0 0.81 0.03
#1nr1-19 0 0.10 0.84 0 0.03 0.03
#5nr1-3 0.17 0.29 0 0.13 0.04 0.38
#4nr1-6 0.92 0 0.04 0 0.04 0
#6nr2-15 0 0.94 0 0.03 0.03 0
#2nr2-7 0 0 0 1.0 0 0
#3nr3-29 0 0 0 0.17 0 0.83
#4pe2-12 1.0 0 0 0 0 0
#2pe2-21 0 0.03 0 0.83 0.07 0.07
#6pe2-31 0 0.74 0.16 0.03 0 0.06
#5pe2-4 0.16 0.16 0.03 0 0.03 0
#4pe2-6 1.0 0 0 0 0 0
#1pe3-16 0 0 0.91 0.02 0.07 0
#1pe3-21 0 0 0.92 0.04 0.04 0
#3pe4-5 0 0 0 0.10 0 0.90
#6pe5-10 0 0.83 0 0.04 0 0.13
#6pe5-7 0 0.92 0.08 0 0 0
#7pe6-2 0 0 0.23 0 0.74 0.03
#7pf1-16 0.07 0 0 0 0.93 0
#5pf1-2 0.47 0.30 0.07 0.03 0.07 0.07
#3pf1-24 0.04 0 0 0 0 0.96
#4pf1-5 0.96 0 0 0 0.04 0
#4pf1-6 1.0 0 0 0 0 0
#6pf2-12 0 1.0 0 0 0 0
#6pf2-16 0 1.0 0 0 0 0
#1pf2-30 0 0 1.0 0 0 0
#2pf2-4 0 0 0 0.79 0 0.21
#7sw1-16 0 0 0 0 1.0 0
#3sw1-30 0 0 0 0.06 0 0.94
#6sw2-16 0 0.92 0 0 0 0.08
#1sw2-30 0.04 0 0.79 0 0.08 0.08
#5sw3-3 0.25 0.46 0 0 0 0.29
#4sw3-9 1.0 0 0 0 0 0
#2sw4-9 0 0 0 1.0 0 0
#4wf2-11 0.97 0 0 0 0 0.03
#4wf2-12 1.0 0 0 0 0 0
#7wf2-16 0 0 0.09 0 0.91 0
#5wf2-5 0 0.07 0 0.28 0 0.07
#2wf3-1 0 0 0 1.0 0 0
#3wf3-11 0 0 0 0.03 0 0.97
#1wf3-16 0 0.04 0.88 0 0.04 0.04
#6wf3-28 0.07 0.79 0 0.03 0.03 0.07
#2wf3-4 0 0 0.02 0.96 0 0.02
#3wf4-22 0 0 0 0.20 0 0.80
#6wf5-6 0 0.88 0 0.04 0 0.08
